Input Data,,,,,,Failure prediction,,
Project Id,total_duration,actual_prize,num_open_tasks,avg_similarity,task_failure_probability,today,tomorrow,day after tomorrow
30039333,3.859027778,150,20,0.831901367,1,0.799157515,0.811030484,0.818705021
30039336,7.003472222,3150,30,0.808797206,0.5,0.780003319,0.844057637,0.811839049
30039341,8.003472222,2100,30,0.806242941,0.6,0.813267354,0.875297062,0.812270501
30039343,4.003472222,500,20,0.896420657,0.714285714,0.916467203,0.810246651,0.919436901
30039344,5.045138889,1400,29,0.84255626,0.5,0.686306942,0.8396846,0.788972974
30039345,5.540972222,1650,32,0.943475486,0.785714286,0.845944388,0.815931786,0.87630986
30039346,4,1000,56,0.707139651,0.5,0.905236655,0.747231737,0.683065462
30039347,6.041666667,1500,42,0.877952126,1,0.85750712,0.794385445,0.823728399
30039349,6,0,71,0.931945101,0.933333333,0.912617834,0.82177572,0.83281686
30039350,5,1650,38,0.698568268,0.823529412,0.969518604,0.720214823,0.838193786
30039351,3.833333333,1068,56,0.925202643,0.928571429,0.891156175,0.854989103,0.838911117
30039352,6,2400,90,0.893773181,0.5,0.889001965,0.809536866,0.799760576
30039353,6.045138889,2400,23,0.7911227,0.13559322,0.546412647,0.908009077,0.858497033
30039356,2.003472222,450,30,0.810091368,1,0.801943157,0.800916221,0.880244598
30039357,1.083333333,100,30,0.674164264,1,0.879074226,0.88397705,0.78099902
30039358,5.003472222,0,33,0.757167052,0.666666667,0.940204128,0.77277401,0.852936482
30039370,5.003472222,1050,33,0.775790967,0.923076923,0.82267183,0.82956343,1.012715618
30039372,6.003472222,3400,30,0.799571398,0.333333333,0.825043759,0.803109332,0.833196315
30039374,5.003472222,800,30,0.760471198,0.7,1.044002669,0.892925607,0.705163701
30039376,4.999305556,1000,40,0.635339255,0.888888889,0.702182769,0.845328398,0.988264671
30039377,5,1000,56,0.853437561,1,0.858048515,0.910534394,0.861172277
30039378,4,1050,49,0.867200777,0.666666667,0.993784175,0.943357689,0.811733062
30039380,4.003472222,800,81,0.938187952,0.5,0.797731146,1.033561677,0.791767119
30039383,6.003472222,1400,58,0.898433,0.848484848,0.97995692,0.883346453,0.77569351
30039384,5,2100,74,0.902175384,0.333333333,0.778669666,0.86777032,0.949788176
30039389,5,1200,67,0.93966407,0.846153846,0.857614653,0.822914021,0.824069364
30039390,3,900,53,0.950182325,0.8,0.965667535,0.817213401,0.786050166
30039391,4.999305556,1200,95,0.91587552,0.933333333,0.974550657,0.94562472,1.011230463
30039400,5,2100,47,0.893071797,0.875,0.735846522,0.835249372,0.874473409
30039401,5.045138889,1500,32,0.708716677,0.777777778,0.858529542,0.755309472,0.813244209
30039404,6.2375,1500,62,0.859196458,0.444444444,0.753578216,0.765545327,0.810867589
30039406,4,1200,80,0.913922,0.5,0.875151321,0.731812827,0.74267789
